Zip,County,City,lat,lon,Zhvi
90806,Los Angeles County,Long Beach,33.801767,-118.1858,549300
91790,Los Angeles County,West Covina,34.068059,-117.93835,552600
92629,Orange County,Dana Point,33.475302,-117.70327,956000
91789,Los Angeles County,Walnut,34.018361,-117.85438,759600
91104,Los Angeles County,Pasadena,34.169356,-118.12392,825100
90220,Los Angeles County,Compton,33.890566,-118.23666,422100
91350,Los Angeles County,Santa Clarita,34.481172,-118.42821,559500
90017,Los Angeles County,Los Angeles,34.052561,-118.26434,638900
90038,Los Angeles County,Los Angeles,34.089459,-118.3285,1052000
90242,Los Angeles County,Downey,33.92018,-118.14291,538500
90230,Los Angeles County,Culver City,33.997179,-118.40145,1006200
91326,Los Angeles County,Los Angeles,34.276154,-118.54581,785900
91711,Los Angeles County,Claremont,34.110009,-117.71973,694800
92807,Orange County,Anaheim,33.850515,-117.79113,726700
91773,Los Angeles County,San Dimas,34.103341,-117.81814,617400
91001,Los Angeles County,Altadena,34.192102,-118.14206,831100
91355,Los Angeles County,Santa Clarita,34.406519,-118.56214,560900
91754,Los Angeles County,Monterey Park,34.048207,-118.14161,694100
90301,Los Angeles County,Inglewood,33.955913,-118.35868,506600
91316,Los Angeles County,Los Angeles,34.168753,-118.51636,692300
92651,Orange County,Laguna Beach,33.535325,-117.77192,2072700
90064,Los Angeles County,Los Angeles,34.03457,-118.42843,1552400
92637,Orange County,Laguna Woods,#N/A,#N/A,368000
90504,Los Angeles County,Torrance,33.870414,-118.33065,720600
91780,Los Angeles County,Temple City,34.101608,-118.05606,767100
90604,Los Angeles County,Whittier,33.929163,-118.009,558500
92701,Orange County,Santa Ana,33.747017,-117.86248,486500
90002,Los Angeles County,Los Angeles,33.948315,-118.24845,386700
90039,Los Angeles County,Los Angeles,34.110425,-118.25832,1066100
91776,Los Angeles County,San Gabriel,34.089059,-118.0951,676400
91325,Los Angeles County,Los Angeles,34.235055,-118.51766,713700
92802,Orange County,Anaheim,33.806965,-117.92594,595400
91403,Los Angeles County,Los Angeles,34.152513,-118.46396,1104000
91356,Los Angeles County,Los Angeles,34.164255,-118.54472,951200
91352,Los Angeles County,Los Angeles,34.224089,-118.37563,555600
92675,Orange County,San Juan Capistrano,33.500843,-117.65866,743600
92869,Orange County,Orange,33.792687,-117.79975,755300
90221,Los Angeles County,Compton,33.893265,-118.204,421900
90031,Los Angeles County,Los Angeles,34.07871,-118.2161,648600
91007,Los Angeles County,Arcadia,34.126957,-118.05216,1096900
92694,Orange County,Ladera Ranch,33.570763,-117.63463,814600
90023,Los Angeles County,Los Angeles,34.023039,-118.20231,437200
90621,Orange County,Buena Park,33.875714,-117.99404,590900
91106,Los Angeles County,Pasadena,34.142557,-118.12715,704500
92843,Orange County,Garden Grove,33.763033,-117.9355,598300
91722,Los Angeles County,Covina,34.097708,-117.90698,499500
91321,Los Angeles County,Santa Clarita,34.377782,-118.51489,509200
92602,Orange County,Irvine,33.73297,-117.76932,933100
90274,Los Angeles County,Palos Verdes Estates,33.784099,-118.38752,1791000
90302,Los Angeles County,Inglewood,33.975263,-118.35558,589800
92663,Orange County,Newport Beach,33.619221,-117.93087,1788900
91791,Los Angeles County,West Covina,34.063645,-117.89743,618900
90601,Los Angeles County,Whittier,34.002333,-118.03562,574400
92614,Orange County,Irvine,33.680408,-117.82592,735800
90015,Los Angeles County,Los Angeles,34.038993,-118.26516,655900
90260,Los Angeles County,Lawndale,33.888364,-118.35355,618400
91354,Los Angeles County,Santa Clarita,34.445313,-118.55252,595200
91101,Los Angeles County,Pasadena,34.146607,-118.1391,597600
92782,Orange County,Tustin,33.739571,-117.78618,769000
91006,Los Angeles County,Arcadia,34.134057,-118.02662,1040600
90712,Los Angeles County,Lakewood,33.851965,-118.1468,585400
90605,Los Angeles County,Whittier,33.945413,-118.03362,520800
92653,Orange County,Laguna Hills,33.602823,-117.71295,762100
90404,Los Angeles County,Santa Monica,34.026959,-118.47432,1003900
91214,Los Angeles County,Glendale,34.232003,-118.24753,865600
91030,Los Angeles County,South Pasadena,34.112958,-118.15577,1250600
92673,Orange County,San Clemente,33.462927,-117.62414,926400
91803,Los Angeles County,Alhambra,34.072959,-118.1462,677300
93552,Los Angeles County,Palmdale,34.561207,-118.0375,316000
92679,Orange County,Coto de Caza,33.639227,-117.58518,899600
91364,Los Angeles County,Los Angeles,34.158214,-118.60061,908300
91351,Los Angeles County,Santa Clarita,34.424794,-118.44513,502300
90059,Los Angeles County,Los Angeles,33.927471,-118.24778,401300
90041,Los Angeles County,Los Angeles,34.137557,-118.20765,899600
90254,Los Angeles County,Hermosa Beach,33.866314,-118.39968,1596000
91733,Los Angeles County,South El Monte,34.05051,-118.04834,502800
90810,Los Angeles County,Long Beach,33.816217,-118.21495,484400
91042,Los Angeles County,Los Angeles,34.256952,-118.28453,647400
92706,Orange County,Santa Ana,33.765916,-117.88139,649300
91602,Los Angeles County,Los Angeles,34.152476,-118.36841,906000
92604,Orange County,Irvine,33.68762,-117.78852,809400
91303,Los Angeles County,Los Angeles,34.198204,-118.60206,528100
91324,Los Angeles County,Los Angeles,34.240353,-118.55038,637000
91740,Los Angeles County,Glendora,34.119245,-117.8548,546100
90272,Los Angeles County,Los Angeles,34.050505,-118.53374,3010200
91504,Los Angeles County,Burbank,34.201254,-118.32993,876400
90062,Los Angeles County,Los Angeles,34.003213,-118.3078,588100
91302,Los Angeles County,Calabasas,34.133513,-118.66464,1308800
90713,Los Angeles County,Lakewood,33.847265,-118.11337,607000
90680,Orange County,Stanton,33.803565,-117.99596,528700
91741,Los Angeles County,Glendora,34.140207,-117.85704,711100
90814,Los Angeles County,Long Beach,33.771167,-118.14482,732600
90210,Los Angeles County,Beverly Hills,34.088808,-118.40612,4777200
91792,Los Angeles County,West Covina,34.020711,-117.89932,549600
90249,Los Angeles County,Gardena,33.899265,-118.319,586200
92841,Orange County,Garden Grove,33.786915,-117.98224,633000
91301,Los Angeles County,Agoura Hills,34.139536,-118.7607,847500
91411,Los Angeles County,Los Angeles,34.178305,-118.45858,738800
90710,Los Angeles County,Los Angeles,33.797317,-118.30065,598400
90717,Los Angeles County,Lomita,33.793384,-118.31611,690600
92835,Orange County,Fullerton,33.903164,-117.91224,799600
90720,Orange County,Los Alamitos,33.794028,-118.07218,1018900
91202,Los Angeles County,Glendale,34.166567,-118.26994,862100
92832,Orange County,Fullerton,33.869114,-117.92985,571600
91755,Los Angeles County,Monterey Park,34.05471,-118.11823,649000
90732,Los Angeles County,Los Angeles,33.736718,-118.31123,631500
92868,Orange County,Orange,33.787266,-117.87494,588900
90606,Los Angeles County,Whittier,33.978312,-118.06778,495100
91103,Los Angeles County,Pasadena,34.166706,-118.159,742500
91724,Los Angeles County,Covina,34.088771,-117.85817,586800
91501,Los Angeles County,Burbank,34.186755,-118.30153,888800
92606,Orange County,Irvine,33.695576,-117.80588,868600
91201,Los Angeles County,Glendale,34.17013,-118.29158,878100
91307,Los Angeles County,Los Angeles,34.197737,-118.64797,687600
91775,Los Angeles County,San Gabriel,34.114041,-118.09035,882200
90602,Los Angeles County,Whittier,33.967562,-118.03384,558200
90746,Los Angeles County,Carson,33.857416,-118.25633,586900
90265,Los Angeles County,Malibu,34.051056,-118.80768,2950800
91768,Los Angeles County,Pomona,34.06521,-117.77932,426700
91340,Los Angeles County,San Fernando,34.284935,-118.43821,487900
90240,Los Angeles County,Downey,33.958363,-118.11987,626700
91010,Los Angeles County,Duarte,34.137707,-117.96569,518500
91506,Los Angeles County,Burbank,34.169663,-118.32364,850000
91731,Los Angeles County,El Monte,34.076642,-118.03942,507000
90245,Los Angeles County,El Segundo,33.921313,-118.40843,1270700
91040,Los Angeles County,Los Angeles,34.261221,-118.31887,634900
92603,Orange County,Irvine,33.648871,-117.764637,1294500
90061,Los Angeles County,Los Angeles,33.923365,-118.27591,423800
90222,Los Angeles County,Compton,33.910716,-118.23624,403400
92808,Orange County,Anaheim,33.858151,-117.73864,764200
90232,Los Angeles County,Culver City,34.021611,-118.39168,1455500
91203,Los Angeles County,Glendale,34.152757,-118.2658,565100
90303,Los Angeles County,Inglewood,33.934164,-118.33255,581200
91723,Los Angeles County,Covina,34.085809,-117.88694,546700
92887,Orange County,Yorba Linda,33.883223,-117.73856,890400
91384,Los Angeles County,Castaic,34.478797,-118.65255,565700
91011,Los Angeles County,La Canada Flintridge,34.211171,-118.19776,1739200
90603,Los Angeles County,Whittier,33.941363,-117.99477,598400
92625,Orange County,Newport Beach,33.600172,-117.86823,2781900
91381,Los Angeles County,Santa Clarita,34.384663,-118.58704,763500
90304,Los Angeles County,Inglewood,33.936163,-118.36076,530400
90293,Los Angeles County,Los Angeles,33.957012,-118.44167,767000
91746,Los Angeles County,West Puente Valley,34.046889,-117.98464,494900
90013,Los Angeles County,Los Angeles,34.044662,-118.24255,598000
92865,Orange County,Orange,33.8318,-117.84739,671900
92844,Orange County,Garden Grove,33.765516,-117.9731,604300
90270,Los Angeles County,Maywood,33.988813,-118.18642,431700
90212,Los Angeles County,Beverly Hills,34.060859,-118.40191,2710300
90305,Los Angeles County,Inglewood,33.960263,-118.3252,626000
91390,Los Angeles County,Santa Clarita,34.490004,-118.300826,658800
91204,Los Angeles County,Glendale,34.135259,-118.25948,607800
91105,Los Angeles County,Pasadena,34.137857,-118.16329,1258500
90715,Los Angeles County,Lakewood,33.840965,-118.07775,539000
91208,Los Angeles County,Glendale,34.189605,-118.22857,1035900
90502,Los Angeles County,West Carson,33.833416,-118.29198,531800
92866,Orange County,Orange,33.785091,-117.84569,715200
90094,Los Angeles County,Los Angeles,33.786594,-118.298662,1021600
91436,Los Angeles County,Los Angeles,34.155625,-118.48925,1608400
92845,Orange County,Garden Grove,33.782916,-118.02619,684500
90402,Los Angeles County,Santa Monica,34.036759,-118.50121,3942400
90670,Los Angeles County,Santa Fe Springs,33.933551,-118.06821,504500
91502,Los Angeles County,Burbank,34.177606,-118.30954,620800
90623,Orange County,La Palma,33.849327,-118.04395,750500
91345,Los Angeles County,Los Angeles,34.264635,-118.45961,547800
90014,Los Angeles County,Los Angeles,34.042912,-118.25193,582300
91024,Los Angeles County,Sierra Madre,34.164806,-118.0509,1007000
90701,Los Angeles County,Artesia,33.867215,-118.08062,571000
90755,Los Angeles County,Signal Hill,33.801783,-118.168691,520900
92657,Orange County,Newport Beach,33.610717,-117.8325,2739400
91108,Los Angeles County,San Marino,34.122658,-118.11296,2302400
92610,Orange County,Lake Forest,33.685479,-117.6669,755700
90056,Los Angeles County,Ladera Heights,33.986212,-118.37099,1308000
93543,Los Angeles County,Littlerock,34.533321,-117.94904,285800
91207,Los Angeles County,Glendale,34.165373,-118.24532,1081300
90211,Los Angeles County,Beverly Hills,34.066009,-118.38271,2373700
90248,Los Angeles County,Los Angeles,33.870466,-118.28813,582300
90077,Los Angeles County,Los Angeles,34.101007,-118.45077,2538000
90716,Los Angeles County,Hawaiian Gardens,33.828565,-118.07364,431600
92624,Orange County,Dana Point,33.460727,-117.66467,993300
90040,Los Angeles County,Commerce,33.997492,-118.15284,466800
91020,Los Angeles County,La Crescenta-Montrose,34.211494,-118.23104,740800
93510,Los Angeles County,Acton,34.497245,-118.18951,601600
90290,Los Angeles County,Topanga,34.101447,-118.59933,1171300
92655,Orange County,Westminster,33.745166,-117.98569,660400
92661,Orange County,Newport Beach,33.601822,-117.89966,2737400
92662,Orange County,Newport Beach,33.606271,-117.89243,2771200
92823,Orange County,Brea,33.918965,-117.83252,824800
92861,Orange County,Villa Park,33.812662,-117.81623,1268200
90067,Los Angeles County,Los Angeles,34.056709,-118.41183,1196700
90704,Los Angeles County,Avalon,33.368642,-118.40835,726900
93532,Los Angeles County,Lake Hughes,34.676708,-118.45592,287100
92676,Orange County,Silverado,33.743168,-117.63563,730700
93544,Los Angeles County,Llano,34.493392,-117.77444,284800
91008,Los Angeles County,Bradbury,#N/A,#N/A,1350400
